Testing W = 0.1
Models: BAC, DCS, DS(theta), QBCR, QBPL
37: 0.729982, 0.730162, 1.05297e-35, 2.26337e-39, 0.733513
36.5: 0.724174, 0.724362, 2.17606e-41, 1.40359e-41, 0.728985
36: 0.71755, 0.717747, 1.31761e-43, 3.39403e-44, 0.723803
35.5: 0.710024, 0.710229, 1.80299e-45, 2.00684e-46, 0.717909
35: 0.7015, 0.701712, 1.88502e-47, 5.89201e-52, 0.711237
34.5: 0.691867, 0.692086, 4.43669e-53, 3.32902e-54, 0.703713
34: 0.681001, 0.681225, 5.00002e-59, 9.49946e-60, 0.695258
33.5: 0.668756, 0.668986, 5.49817e-65, 4.74531e-62, 0.685783
33: 0.654967, 0.655201, 5.87223e-71, 3.79434e-64, 0.675189
32.5: 0.639441, 0.639678, 6.09265e-77, 4.28853e-66, 0.663373
32: 0.621955, 0.622192, 6.14028e-83, 7.02748e-72, 0.650208
31.5: 0.602245, 0.602481, 3.05953e-85, 3.49078e-74, 0.635574
31: 0.580001, 0.580235, 8.43312e-91, 9.50999e-80, 0.619328
30.5: 0.55486, 0.555089, 3.97196e-93, 8.69986e-86, 0.601321
30: 0.526394, 0.526614, 9.03183e-99, 4.02002e-88, 0.581398
29.5: 0.494104, 0.494313, 7.80009e-105, 8.31429e-94, 0.559403
29: 0.45744, 0.457632, 3.47883e-107, 3.19426e-96, 0.53519
28.5: 0.41585, 0.41602, 9.37816e-113, 2.004e-98, 0.50864
28: 0.368962, 0.369104, 3.93604e-115, 4.48904e-104, 0.479688
27.5: 0.317048, 0.317157, 8.68512e-121, 1.84988e-106, 0.448372
27: 0.261954, 0.262027, 6.45176e-127, 4.74705e-112, 0.414883
26.5: 0.208017, 0.208058, 4.71397e-133, 3.4133e-118, 0.379635
26: 0.160816, 0.160836, 1.83409e-135, 1.32845e-120, 0.343336
25.5: 0.123558, 0.123566, 2.46861e-137, 3.55144e-126, 0.306977
25: 0.0959374, 0.0959411, 3.54747e-143, 2.32376e-132, 0.271714
24.5: 0.0759916, 0.0759932, 2.2695e-149, 1.50529e-138, 0.238682
24: 0.061599, 0.0615999, 1.42549e-155, 9.4515e-145, 0.208696
23.5: 0.0510321, 0.0510325, 4.93057e-158, 5.7539e-151, 0.182138
23: 0.0430475, 0.0430477, 6.79619e-160, 1.94282e-153, 0.158972
22.5: 0.0368028, 0.036803, 8.68855e-166, 2.69491e-155, 0.13895
22: 0.0317394, 0.0317395, 4.73462e-172, 1.82501e-157, 0.121757
21.5: 0.0274847, 0.0274847, 2.54154e-178, 1.53187e-159, 0.10703
21: 0.0237839, 0.0237839, 1.31989e-184, 2.39256e-165, 0.0944846
20.5: 0.0204532, 0.0204532, 3.93775e-187, 6.97753e-168, 0.0838489
20: 0.017347, 0.017347, 5.68478e-189, 9.13961e-170, 0.0748759
19.5: 0.0143286, 0.0143287, 3.43851e-191, 3.61554e-172, 0.067331
19: 0.0112268, 0.0112268, 6.44222e-197, 3.6639e-174, 0.060992
18.5: 0.00770216, 0.00770217, 2.71301e-203, 1.6662e-176, 0.0556514
18: 0.00156774, 0.00156774, 1.15236e-209, 8.44139e-183, 0.0511289
17.5: 1.63844e-10, 1.63843e-10, 2.93643e-212, 2.13739e-185, 0.0472705
17: 1.61473e-10, 1.61472e-10, 4.51673e-214, 6.22671e-191, 0.0439406
16.5: 2.49127e-13, 2.49127e-13, 4.19354e-220, 2.21547e-197, 0.041064
16: 1.79658e-16, 1.79657e-16, 1.47723e-226, 5.00027e-200, 0.0384901
15.5: 7.71592e-20, 7.71583e-20, 5.22075e-233, 3.31546e-202, 0.0362206
15: 1.32375e-20, 1.32373e-20, 1.15579e-235, 7.49184e-205, 0.0341785
14.5: 3.18918e-24, 3.18913e-24, 3.66751e-241, 1.20972e-206, 0.0323258
14: 4.80321e-28, 4.80312e-28, 1.03688e-247, 3.91792e-209, 0.0306295
13.5: 5.59123e-32, 5.59113e-32, 3.14712e-254, 4.77841e-211, 0.0290644
13: 5.17098e-36, 5.1709e-36, 9.03431e-261, 2.20607e-213, 0.0276225
12.5: 3.88314e-40, 3.88308e-40, 2.48762e-267, 3.65685e-219, 0.0262646
12: 2.53282e-41, 2.53277e-41, 4.58521e-270, 6.15345e-222, 0.0249643
11.5: 2.12322e-42, 2.12319e-42, 7.22991e-272, 1.23679e-223, 0.0237497
11: 1.60028e-43, 1.60025e-43, 3.0377e-274, 3.18908e-226, 0.0225904
10.5: 9.22775e-48, 9.22759e-48, 6.25664e-280, 4.18782e-232, 0.0214811
10: 3.0053e-52, 3.00522e-52, 1.11458e-286, 4.74509e-235, 0.0204138

Testing W = 0.4
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.753972, 0.75417, 1.32723e-14, 1.24295e-12, 0.755989
39.5: 0.748706, 0.748913, 2.08519e-20, 5.58762e-15, 0.75162
39: 0.742703, 0.742921, 2.50579e-26, 4.65127e-17, 0.746628
38.5: 0.735893, 0.73612, 2.93599e-32, 9.67204e-23, 0.740955
38: 0.728194, 0.72843, 3.34619e-38, 3.76417e-25, 0.734542
37.5: 0.719513, 0.719757, 3.71022e-44, 2.26861e-27, 0.727324
37: 0.709745, 0.709998, 4.0026e-50, 2.26391e-29, 0.719217
36.5: 0.698772, 0.699031, 2.1784e-52, 2.35965e-31, 0.710148
36: 0.686457, 0.686722, 2.71239e-54, 2.43391e-33, 0.700019
35.5: 0.672641, 0.672911, 5.07558e-60, 2.30121e-35, 0.68873
35: 0.657143, 0.657416, 4.87621e-66, 2.11113e-37, 0.676167
34.5: 0.639748, 0.640023, 4.5912e-72, 4.24418e-43, 0.662204
34: 0.620206, 0.620481, 4.20668e-78, 3.85303e-49, 0.646702
33.5: 0.598219, 0.598492, 3.75143e-84, 1.8598e-51, 0.629506
33: 0.573432, 0.5737, 3.25594e-90, 4.29775e-57, 0.610449
32.5: 0.545421, 0.545681, 1.50983e-92, 3.57893e-63, 0.589351
32: 0.513676, 0.513924, 1.85157e-94, 2.94345e-69, 0.566025
31.5: 0.477596, 0.477828, 2.94568e-100, 1.20811e-71, 0.540273
31: 0.436499, 0.436709, 1.27373e-102, 9.17674e-74, 0.51192
